id,company,industry,website,naics_code,naics_description,all_naics,uei,recipient_id,last_award_date,last_checked,total_awards_found
36,MAK Technologies,Distributed Defense Simulation,mak.com,511210,SOFTWARE PUBLISHERS,"511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541519: OTHER COMPUTER RELATED SERVICES; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 513120: PERIODICAL PUBLISHERS; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541512: COMPUTER SYSTEMS DESIGN SERVICES; 334614: SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING; 331110: IRON AND STEEL MILLS AND FERROALLOY MANUFACTURING; 332510: HARDWARE MANUFACTURING; 334515: INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS",TT11NFHPTZN1,fe1022a7-8360-817b-c701-0ba0f996ae81-C,2026-02-10,2026-07-22,91
37,Bohemia Interactive Simulations,Military Virtual Training Platforms,bisimulations.com,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 511210: SOFTWARE PUBLISHERS; 513210: SOFTWARE PUBLISHERS; 541519: OTHER COMPUTER RELATED SERVICES; 541720: RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES; 333310: COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 561990: ALL OTHER SUPPORT SERVICES; 611519: OTHER TECHNICAL AND TRADE SCHOOLS; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 334118: COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,U84CXJN25MG3,900474a4-c46b-f27a-118d-7a6e87bdd303-C,2026-04-16,2026-07-22,42
38,Mass Virtual,VR Training Solutions for the DoD,massvirtual.com,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,"611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541519: OTHER COMPUTER RELATED SERVICES; 513210: SOFTWARE PUBLISHERS; 541330: ENGINEERING SERVICES",CH34JZ4179Q3,d1f2f5f8-3b5c-c57b-ed79-12442bdad5b8-C,2025-12-29,2026-07-22,104
39,Pinnacle Solutions,Aerospace Training & Simulations,pinnaclesolutionsinc.com,541519,OTHER COMPUTER RELATED SERVICES,541519: OTHER COMPUTER RELATED SERVICES; 488190: OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION; 611512: FLIGHT TRAINING; 611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING; 336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 423490: OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS; 541330: ENGINEERING SERVICES; 336411: AIRCRAFT MANUFACTURING; 493110: GENERAL WAREHOUSING AND STORAGE; 333318: OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 541199: ALL OTHER LEGAL SERVICES; 611710: EDUCATIONAL SUPPORT SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 325320: PESTICIDE AND OTHER AGRICULTURAL CHEMICAL MANUFACTURING,QRH4CF28JZD6,ed3f9c9e-41f8-ec61-56a8-89813dc86f62-C,2026-01-23,2026-07-22,54
40,Cole Engineering Services,Complex Modeling & Simulation Systems,coleengineering.com,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541519: OTHER COMPUTER RELATED SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 541330: ENGINEERING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 333319: OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 541720: RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES; 333310: COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES",KPTFNV8G23L1,236ac8d6-bc81-9510-0225-1d6f38cf4b71-C,2026-03-19,2026-07-22,116
41,DiSTI Corporation,Virtual Maintenance Training Software,disti.com,511210,SOFTWARE PUBLISHERS,511210: SOFTWARE PUBLISHERS; 333319: OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES,HLJTYTGT86E1,eb9d4b2f-3481-5700-4452-06e528b2f967-C,2016-08-05,2026-07-22,11
42,Vertex Aerospace,Specialized Fleet Support Services,vtxaero.com,488190,OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,"488190: OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 336411: AIRCRAFT MANUFACTURING; 541330: ENGINEERING SERVICES; 541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 333310: COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 561210: FACILITIES SUPPORT SERVICES; 336414: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING; 481211: NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION; 481219: OTHER NONSCHEDULED AIR TRANSPORTATION; 541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",NVC1EFKKYB93,fb63ba18-02ee-d557-7366-681926c60e0d-C,2026-04-01,2026-07-22,168
43,Systems & Technology Research,Advanced R&D Data Analysis,str.us,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 511210: SOFTWARE PUBLISHERS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES",SA7ZWUEM9RG4,c233e603-0df0-d9ad-fbf7-04ba608a0f7a-C,2026-01-30,2026-07-22,109
44,"Metron, Inc.",Advanced Operations Research & Applied Math,metsci.com,,,,,,,2026-07-22,
45,Decisive Analytics,Applied AI & Systems Engineering,dac.us,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 423430: COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS; 541330: ENGINEERING SERVICES; 334310: AUDIO AND VIDEO EQUIPMENT MANUFACTURING; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES; 811212: COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 334290: OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING; 524128: OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",MFA3QKYKLL31,18d1839c-e0d6-40bf-7bc1-2c1bd6ec9da8-C,2020-10-01,2026-07-22,101
46,Radiance Technologies,Specialized Intelligence R&D Support,radiancetech.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 336419: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 541330: ENGINEERING SERVICES; 334515: INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334290: OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING; 336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 335931: CURRENT-CARRYING WIRING DEVICE MANUFACTURING; 541350: BUILDING INSPECTION SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 336411: AIRCRAFT MANUFACTURING; 541519: OTHER COMPUTER RELATED SERVICES; 315999: OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING",YXRLX5PDCWK4,daaa0b56-dd2e-9bbf-1efa-a8b8240c3162-C,2026-05-06,2026-07-22,147
47,InCadence Strategic Solutions,Biometrics & Identity Platforms,incadencecorp.com,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,"334519: OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 334118: COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING; 541519: OTHER COMPUTER RELATED SERVICES; 511210: SOFTWARE PUBLISHERS; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 238220: PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS; 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 453210: OFFICE SUPPLIES AND STATIONERY STORES; 423490: OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS; 611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING",D1JARVWENN16,359bd420-00d0-40a3-5245-32984866e06f-C,2026-01-15,2026-07-22,80
48,KeyW Corporation,Advanced Cyber & Intelligence Tech,keywcorp.com,541712,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)","541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541519: OTHER COMPUTER RELATED SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541330: ENGINEERING SERVICES; 334290: OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334111: ELECTRONIC COMPUTER MANUFACTURING; 541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 511210: SOFTWARE PUBLISHERS; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 811219: OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE; 611710: EDUCATIONAL SUPPORT SERVICES; 811213: COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE; 334419: OTHER ELECTRONIC COMPONENT MANUFACTURING; 811121: AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE; 541513: COMPUTER FACILITIES MANAGEMENT SERVICES; 541710: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES; 513310: WIRED TELECOMMUNICATIONS CARRIERS",ZCHRM59JUJA9,1b34d205-f0cd-208d-836d-5595c83acb98-C,2025-03-07,2026-07-22,142
49,Signature Science,Bio-Defense & Threat Tracking,signaturescience.com,541199,ALL OTHER LEGAL SERVICES,"541199: ALL OTHER LEGAL SERVICES; 541620: ENVIRONMENTAL CONSULTING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES; 541711: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY; 611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING",GMK2EG5EDNL7,f9ffeed8-8b7b-0a19-26d7-327a0582305f-C,2026-07-17,2026-07-22,112
50,ARA (Applied Research Associates),Specialized Engineering & Environmental R&D,ara.com,,,,,,,2026-07-22,
51,Torch Technologies,Missile Defense Modeling Services,torchtechnologies.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 336419: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 811121: AUTOMOTIVE BODY, PAINT, AND INTERIOR REPAIR AND MAINTENANCE; 611699: ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES",YA63J5PVEZE6,4185d6ab-6726-b8f6-b5f8-8d839ccb063c-C,2026-01-14,2026-07-22,140
52,Intuitive Research & Tech,Aerospace Engineering & Analysis,irtc-hq.com,,,,,,,2026-07-22,
53,Davidson Technologies,Aerospace & Missile Defense Engineering,davidson-tech.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING",NNGENQ7VK3M7,daae1355-ef3f-88d2-97eb-ac52c4510502-C,2026-03-13,2026-07-22,23
54,nLight,High-Power Defense Lasers,nlight.net,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES","541614: PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES; 541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES; 811310: COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 311991: PERISHABLE PREPARED FOOD MANUFACTURING; 541330: ENGINEERING SERVICES; 611430: PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 238210: ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS; 221115: WIND ELECTRIC POWER GENERATION; 332212: HAND AND EDGE TOOL MANUFACTURING; 561612: SECURITY GUARDS AND PATROL SERVICES; 611699: ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION; 221118: OTHER ELECTRIC POWER GENERATION; 541519: OTHER COMPUTER RELATED SERVICES; 611710: EDUCATIONAL SUPPORT SERVICES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 221122: ELECTRIC POWER DISTRIBUTION; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 513210: SOFTWARE PUBLISHERS; 332999: ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES; 339994: BROOM, BRUSH, AND MOP MANUFACTURING; 561990: ALL OTHER SUPPORT SERVICES; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 221112: FOSSIL FUEL ELECTRIC POWER GENERATION; 334516: ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING; 531130: LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS; 221114: SOLAR ELECTRIC POWER GENERATION; 561790: OTHER SERVICES TO BUILDINGS AND DWELLINGS; 335921: FIBER OPTIC CABLE MANUFACTURING; 532111: PASSENGER CAR RENTAL; 481211: NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION; 624230: EMERGENCY AND OTHER RELIEF SERVICES; 334519: OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING; 621610: HOME HEALTH CARE SERVICES; 326199: ALL OTHER PLASTICS PRODUCT MANUFACTURING",UCUEBRLKDW48,78aecc5f-e7e5-3127-b4a5-1e6b8b51b279-C,2026-06-29,2026-07-22,240
55,Directed Energy Technologies,High-Power Tactical RF Systems,directedenergytechnologies.com,334515,INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,"334515: INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS; 423610: ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS",KA3WCL7MJA61,81226588-ccbb-dddb-a681-3e46e12d20db-C,2018-04-13,2026-07-22,2
56,Verus Research,High-Power Microwave Testing,verusresearch.net,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 336419: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 541330: ENGINEERING SERVICES; 927110: SPACE RESEARCH AND TECHNOLOGY",Q5LWJE4J4FH1,d6064847-32f0-7bc6-2c76-0f5cd983b2fe-C,2026-04-10,2026-07-22,102
57,Kymeta Corporation,Metamaterial Flat-Panel SatCom,kymetacorp.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 517410: SATELLITE TELECOMMUNICATIONS; 541519: OTHER COMPUTER RELATED SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES",W53LENEDABY7,22e51d11-3c09-28ce-788e-912db85127c5-C,2025-12-29,2026-07-22,17
58,Isotropic Systems,Multi-Beam Satellite Ground Terminals,isotropicsystems.com,,,,,,,2026-07-22,
59,Phasor Inc.,Electronically Steered SatCom Antennas,phasorsat.com,,,,,,,2026-07-22,
