id,company,industry,website,naics_code,naics_description,all_naics,uei,recipient_id,last_award_date,last_checked,total_awards_found
60,ThinKom Solutions,Phased-Array SatCom Solutions,thinkom.com,334220,RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,"334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541710: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES; 541711: RESEARCH AND DEVELOPMENT IN BIOTECHNOLOGY; 221111: HYDROELECTRIC POWER GENERATION; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",PQS2ANJ8ZDL6,4720b855-86bc-719d-8a4e-63def25ef5d3-C,2026-03-13,2026-07-22,27
61,CesiumAstro,Active Phased Array Space Systems,cesiumastro.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 334220: RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING; 541519: OTHER COMPUTER RELATED SERVICES",ETNXN97SBHG3,cf2dc5f8-b668-0146-4492-7b341b79fabb-C,2025-12-29,2026-07-22,24
62,HawkEye 360,Radio Frequency Satellite Intelligence,he360.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 517410: SATELLITE TELECOMMUNICATIONS; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES; 519130: INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS",HG7CYZVMMD43,2cd13336-d117-7b25-b955-344c3b763337-C,2026-01-21,2026-07-22,12
63,Capella Space,Synthetic Aperture Radar (SAR) Constellations,capellaspace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 517410: SATELLITE TELECOMMUNICATIONS; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES",RL5NWERCMPR3,8e7f1ab5-846f-e8d5-fbfd-0df668cc527e-C,2025-12-29,2026-07-22,25
64,Iceye,High-Resolution SAR Micro-Satellites,iceye.com,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 813920: PROFESSIONAL ORGANIZATIONS; 517410: SATELLITE TELECOMMUNICATIONS; 517919: ALL OTHER TELECOMMUNICATIONS; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES",LVR2DCPMU7M3,ce52ce73-d469-a4ae-2566-68deb99b47c2-C,2025-11-25,2026-07-22,14
65,Ursa Space Systems,Geospatial Satellite Data Intelligence,ursaspace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",S9KPY9BKZHA4,71bf0c0b-f195-0bd0-fd48-02d88d56c21e-C,2025-12-29,2026-07-22,3
66,Orbital Insight,Geospatial AI & Location Analytics,orbitalinsight.com,541360,GEOPHYSICAL SURVEYING AND MAPPING SERVICES,"541360: GEOPHYSICAL SURVEYING AND MAPPING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",F6XESJMUVD15,648daa93-c4da-408a-bcea-5c5c2f376462-C,2025-12-29,2026-07-22,11
67,BlackSky,High-Frequency Satellite Imaging,blacksky.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 517410: SATELLITE TELECOMMUNICATIONS; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 541713: RESEARCH AND DEVELOPMENT IN NANOTECHNOLOGY; 334418: PRINTED CIRCUIT ASSEMBLY (ELECTRONIC ASSEMBLY) MANUFACTURING; 334513: INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 541512: COMPUTER SYSTEMS DESIGN SERVICES",NGNJATA6JMG1,7dae3faa-b495-abca-983a-fcdd6cb179da-C,2026-03-06,2026-07-22,33
68,Satellogic,High-Resolution Earth Observation Imagery,satellogic.com,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",DNP1PZ5Q5453,c5aa74ed-0558-364d-1ec2-e71945c1637d-C,2025-11-25,2026-07-22,4
69,Planet Labs,Daily Global Earth Observation Imagery,planet.com,511210,SOFTWARE PUBLISHERS,"511210: SOFTWARE PUBLISHERS; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 517410: SATELLITE TELECOMMUNICATIONS; 541360: GEOPHYSICAL SURVEYING AND MAPPING SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 927110: SPACE RESEARCH AND TECHNOLOGY; 541519: OTHER COMPUTER RELATED SERVICES; 541690: OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 511120: PERIODICAL PUBLISHERS; 519130: INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS; 423430: COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS; 519190: ALL OTHER INFORMATION SERVICES; 519120: LIBRARIES AND ARCHIVES",DFVEL86MHBN3,42037c0c-42b5-167c-24c1-52d1dec7ae35-C,2026-05-07,2026-07-22,89
70,Spire Global,Space-to-Cloud Maritime & Weather Data,spire.com,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 517410: SATELLITE TELECOMMUNICATIONS; 336414: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING; 517810: ALL OTHER TELECOMMUNICATIONS; 481212: NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION; 541519: OTHER COMPUTER RELATED SERVICES; 517111: WIRED TELECOMMUNICATIONS CARRIERS; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 519290: WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES; 488330: NAVIGATIONAL SERVICES TO SHIPPING; 541330: ENGINEERING SERVICES",LJ68J1MQ3MV7,5f72b748-bfb2-3d9e-3a13-e9568727cb93-C,2026-04-02,2026-07-22,55
71,Slingshot Aerospace,Space Domain Software Awareness,slingshotaerospace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 513210: SOFTWARE PUBLISHERS; 511210: SOFTWARE PUBLISHERS; 927110: SPACE RESEARCH AND TECHNOLOGY; 519130: INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 541611: ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 517410: SATELLITE TELECOMMUNICATIONS; 561990: ALL OTHER SUPPORT SERVICES",NVX6YKTL6K97,6a4cc186-a400-d5f8-3b0d-b6bddecb3346-C,2025-12-29,2026-07-22,36
72,LeoLabs,Low Earth Orbit Space Tracking Systems,leolabs.space,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 513210: SOFTWARE PUBLISHERS; 518210: COMPUTING INFRASTRUCTURE PROVIDERS, DATA PROCESSING, WEB HOSTING, AND RELATED SERVICES; 517410: SATELLITE TELECOMMUNICATIONS; 517919: ALL OTHER TELECOMMUNICATIONS; 541511: CUSTOM COMPUTER PROGRAMMING SERVICES; 541519: OTHER COMPUTER RELATED SERVICES",SM8JX1KNX4L8,10387747-163f-1340-4252-155f97b94742-C,2026-04-02,2026-07-22,15
73,Kayhan Space,Satellite Conjunction Assessment Platforms,kayhan.space,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 513210: SOFTWARE PUBLISHERS",PQC6PKN6NK71,acbd0989-eef2-83a3-cd86-e5aa34f46cbe-C,2024-11-01,2026-07-22,11
74,Cognitive Space,AI SaaS for Satellite Operations,cognitivespace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 927110: SPACE RESEARCH AND TECHNOLOGY; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",V4LVMKMW74B3,4d9f16da-5ac2-12a7-add3-2d6983a293a6-C,2025-12-29,2026-07-22,14
75,True Anomaly,Space Security & Tactical Orbital Vehicles,trueanomaly.space,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 336414: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING",UJ6GX54JLLA8,2fc2a70e-6ee5-55cf-d493-b5df39fa1913-C,2026-04-08,2026-07-22,7
76,Starfish Space,Satellite Servicing & Space Debris Removal,starfishspace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 481212: NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION; 541990: ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",QM7PN38M94U7,094aa398-54b8-254b-29bf-ef3054c5c72f-C,2026-01-30,2026-07-22,21
77,Atomos Space,In-Space Nuclear & Orbital Logistics,atomosspace.com,,,,,,,2026-07-22,
78,Impulse Space,In-Space Propulsion Systems & Logistical Vehicles,impulsespace.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 481212: NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION",FGQ7CARRFFA2,e65ac258-fc58-864a-a7bd-2fc374a50731-C,2026-01-12,2026-07-22,9
79,Launcher,Rocket Engines & Orbital Transfer Software,launcherspace.com,326112,PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING,"326112: PLASTICS PACKAGING FILM AND SHEET (INCLUDING LAMINATED) MANUFACTURING; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 336414: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING",FKLQH4NZBMF1,2e79dd88-c0f0-412d-6223-b8867ea4dfa0-C,2023-05-04,2026-07-22,33
80,Ursa Major Technologies,Propulsion Systems for Rockets & Hypersonics,ursamajor.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING",N7GDJHB2VBU4,701305b6-4c35-6385-0c0c-456d7f545f01-C,2025-12-29,2026-07-22,16
81,Hermeus,Hypersonic Military Aircraft Tech,hermeus.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Y3D9D7QN2LP3,7dc4df38-ed70-6cb5-1acd-155709d6e009-C,2025-12-29,2026-07-22,7
82,Boom Supersonic,Commercial & Defense Supersonic Aircraft,boomsupersonic.com,,,,,,,2026-07-22,
83,Venus Aerospace,Hypersonic Spaceplanes & Drone Tracking,venusaero.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 336414: GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING",L7E4L8YNKMH6,0466f986-70e0-1b7b-3d5d-4efa4e0c3ebf-C,2024-08-07,2026-07-22,6
84,Stratolaunch,Air-Launch Testbeds for Hypersonic Flights,stratolaunch.com,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)","541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",LKCVRU6ADZH8,71ebf6d4-4b33-3525-934a-0d392ea86572-C,2025-12-29,2026-07-22,6
85,Calspan,Flight Research & Airborne Test Services,calspan.com,324110,PETROLEUM REFINERIES,"324110: PETROLEUM REFINERIES; 541380: TESTING LABORATORIES AND SERVICES; 611512: FLIGHT TRAINING; 488190: OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION; 541380: TESTING LABORATORIES; 541715: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY); 541330: ENGINEERING SERVICES; 336419: OTHER GUIDED MISSILE AND SPACE VEHICLE PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 336611: SHIP BUILDING AND REPAIRING; 334511: SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING; 541712: RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY); 332510: HARDWARE MANUFACTURING; 332618: OTHER FABRICATED WIRE PRODUCT MANUFACTURING; 339991: GASKET, PACKING, AND SEALING DEVICE MANUFACTURING; 332993: AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING; 332710: MACHINE SHOPS; 332721: PRECISION TURNED PRODUCT MANUFACTURING; 332999: ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 541910: MARKETING RESEARCH AND PUBLIC OPINION POLLING",Y2SHYGR1MNP6,ab466648-0df4-4bb5-ed27-93df0643226f-C,2026-05-18,2026-07-22,143
86,Fona Technologies,Tactical Infrastructure Software,fonatech.com,,,,,,,2026-07-22,
87,Sonaca Spatial,Aerospace Testing Systems,sonaca.com,,,,,,,2026-07-22,
88,AeroTEC,Aerospace Testing & Flight Evaluation,aerotec.com,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"336413: OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING; 332911: INDUSTRIAL VALVE MANUFACTURING; 325520: ADHESIVE MANUFACTURING; 325212: SYNTHETIC RUBBER MANUFACTURING; 334519: OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING; 332613: SPRING MANUFACTURING; 332510: HARDWARE MANUFACTURING; 611519: OTHER TECHNICAL AND TRADE SCHOOLS; 332710: MACHINE SHOPS; 332994: SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING; 811310: COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE; 488190: OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION; 335312: MOTOR AND GENERATOR MANUFACTURING; 332991: BALL AND ROLLER BEARING MANUFACTURING; 331420: COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING; 336411: AIRCRAFT MANUFACTURING; 335999: ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING; 541370: SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES; 335314: RELAY AND INDUSTRIAL CONTROL MANUFACTURING; 334412: BARE PRINTED CIRCUIT BOARD MANUFACTURING; 332618: OTHER FABRICATED WIRE PRODUCT MANUFACTURING; 335311: POWER, DISTRIBUTION, AND SPECIALTY TRANSFORMER MANUFACTURING; 336330: MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING; 334419: OTHER ELECTRONIC COMPONENT MANUFACTURING; 333613: MECHANICAL POWER TRANSMISSION EQUIPMENT MANUFACTURING; 333924: INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING; 336340: MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING; 332722: BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING; 334516: ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING; 334513: INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES; 336320: MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING; 811210: ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE; 811198: ALL OTHER AUTOMOTIVE REPAIR AND MAINTENANCE; 334515: INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS; 332322: SHEET METAL WORK MANUFACTURING; 541380: TESTING LABORATORIES; 518210: DATA PROCESSING, HOSTING, AND RELATED SERVICES; 336412: AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING; 561320: TEMPORARY HELP SERVICES",HLW7BPRWMK16,c839a709-7a26-ac3f-8015-698ccffb5bec-C,2026-05-26,2026-07-22,132
89,Seabury Solutions,Aviation Regulatory Maintenance Software,seaburysolutions.com,,,,,,,2026-07-22,
90,EmpowerMX,Aerospace Fleet Software Platforms,empowermx.com,,,,,,,2026-07-22,
91,Ramco Systems,Aviation Maintenance ERP Solutions,ramco.com,,,,,,,2026-07-22,
